شرکت|نام ماشین|مشخصات فنی|مزایا|معایب
ایرانخودرو|سورن پلاس (XU7P) یا  سورن پلاس (رینگ فولادی)|"در ادامه پروژه‌های پلاس‌سازی محصولات داخلی، ایران خودرو در زمستان 98 برای نخستین‌بار دست به رونمایی سورن سال جدید است؛ خودرویی که البته در پاییز 99 و با نام «سورن پلاس» به خیابان‌ها آمد. سورن پلاس، که باید آنرا دومین فیس‌لیفت خانواده سورن بدانیم، در واقع همان سورن ELX است ولی با این تفاوت که موتور یورو5 و کروز کنترل دارد. در قسمت ظاهری نیز، ایران خودرو تغییرات فراوانی در جزییات سورن پلاس انجام داده مانند: تغییر گرافیک چراغ‌ها، اضافه‌شدن باله در انتهای صندوق، اضافه‌شدن سنسور سوم پارک در سپر عقب، دودی‌شدن شیشه‌های عقب، جلوپنجره مشکلی با طرح جدید، رینگ دو رنگ با طرح جدید، دستگیره‌ و رودری و روکش صندلی جدید، فرمان جدید (طرح دنا پلاس) با روکش چرم، تریم کربن برای رودری و کنسول، اضافه شدن ایزوفیکس، کامپیوتر سفری جدید و .... شرکت ایران خودرو از تابستان 1401 سیستم مالتی مدیا (مانیتور+دوربین) را هم به لیست تجهیزات سورن پلاس اضافه کرد. در پاییز 1401 سورن پلاس دوگانه‌سوز نیز به بازار کشورمان آمد. در این نسخه، مخزن گاز 100 لیتری اضافه شده و به همین دلیل نیز فضای 500 لیتری صندوق عقب، کاهش یافته و به 350 لیتر رسیده. ضمن اینکه وزن خودرو 120 کیلوگرم بیشتر از نسخه بنزینی شده. در سورن پلاس دوگانه‌سوز، مشخصات خروجی موتور در حالت «بنزین» تغییری نکرده اما البته اگر در حالت «گاز» باشید، قدرت به 97 اسب بخار و گشتاور به 136 نیوتن‌متر می‌رسد. به لحاظ تجهیزات نیز آپشن‌هایی مانند رینگ آلومینیومی، کروز کنترل، مالتی مدیا، پاور ویندوز و آنتی‌ترپ، روی سورن پلاس دوگانه‌سوز وجود ندارد. نسخه ارتقایافته سورن پلاس دوگانه سوز نیز در نیمه دوم سال 1402 با آپشن‌های جدیدش، دوباره به بازار برگشت. شرکت ایران خودرو حدود یکسال پس از عرضه سورن پلاس، و بصورت دقیق‌تر در اواخر زمستان 1402، تیپ جدیدی از این محصول را با نام سورن پلاس XU7P معرفی کرد و همانطور که از نامش پیداشت، در این خودرو، موتور 16 سوپاپ 1.64 لیتری EF7 حذف شده و با موتور 8 سوپاپ 1.76 لیتری XU7P که قبلا روی پژو پارس XU7P و همچنین آریسان 2 امتحانش را پس داده بود، جایگزین شده است. در قسمت تجهیزات، سورن پلاس XU7P فاقد کروز کنترل بوده و رینگ آلومینیومی نیز ندارد. اما مالتی مدیا (مانیتور+دوربین عقب) را بصورت استاندارد دارد. همچنین تمام آپشن‌هایی که ایران خودرو در نیمه دوم 1402 روی سورن پلاس EF7 بنزینی با استاندارد 85گانه (ارتقایافته) نصب کرد، حالا روی سورن پلاس XU7P نیز قرار گرفته بود. این آپشن‌ها عبارتند از: سیستم کنترل کشش (TCS) و پایداری (ESC)، ترمز کمکی با تقویت هیدرولیکی (HBA)، سیستم کمکی حرکت در سربالایی (HSA)، سنسور باد تایر (TPMS) و نشانگر تعویض دنده (GSI).   مشخصات فنی
محور محرک
دیفرانسیل جلو
گیربکس
5 دنده دستی
پیشرانه
4 سیلندر EF7
حجم موتور
1.7 لیتر
عملکرد فنی
قدرت
113 اسب‌بخار
گشتاور
153 نیوتن‌متر
شتاب
12 ثانیه
سرعت
190 کیلومتر برساعت
مصرف ترکیبی
7.3 لیتر در صد کیلومتر
ابعاد و اندازه ها
نوع بدنه
سدان جمع و جور
نوع شاسی
یکپارچه
نسل (کد اتاق)
نسل اول - فیس لیفت
طول
4534 میلی‌متر
عرض
1944 میلی‌متر
ارتفاع
1460 میلی‌متر
فاصله محوری
2671 میلی‌متر
وزن
1240 کیلوگرم
حجم باک
63 لیتر
چرخ جلو
185/65R15
چرخ عقب
185/65R15
سایر ویژگی‌ها"|"فضای جادار کابین
سیستم تعلیق کارآمد
اضافه شدن کروز کنترل (نسبت به سورن معمولی)
عرضه نسخه ارتقایافته (از پاییز 1402)
عرضه مدل XU7P با امکانات بهتر (از زمستان 1402)"|کیفیت ساخت
تمامی شرکت ها|ماشین های دوگانه سوز||ندارد|"1-مشکلات ایمنی

2-کاهش فضا

3-کاهش قدرت و کارایی

4-استهلاک

5-خرابی‌های مکانیکی"
ایرانخودرو|دناپلاس بورسی|"آبان 1403: تولید محدود دنا پلاس بورسی، مجدد در شرکت ایران خودرو آغاز شده است. براساس آخرین گزارش‌های موجود، شرکت ایران خودرو اگرچه دنا پلاس 6 دنده (با موتور EF7P) را به خط تولیدش آورده تا تولید دنا پلاس 5 دنده (با موتور EF7) بتدریج متوقف گردد اما به نظر می‌رسد که در حال حاضر، تولید دنا پلاس 5 دنده به طور کامل متوقف نشده باشد چراکه دنا پلاس بورسی، از پاییز 1403 دوباره به بازار راه پیدا کرده است.  دنا پلاس بورسی مدل 1403 البته تفاوت‌های زیادی با دنا پلاس بورسی سال 1402 دارد و به همین دلیل نیز شرکت ایران خودرو، کدکلاس 70324 را برای آن ایجاد کرده که کاملا جدید است. دناپلاس بورسی با کدکلاس 70324 ملزم به رعایت استانداردهای ایمنی 85 گانه بوده و به همین دلیل نیز آپشن‌های مهمی نسبت به مدل‌های سال گذشته (که با کدکلاس 70323 شناخته می‌شود) دارد. آپشن‌های جدید دنا پلاس بورسی عبارتند از:

1. سیستم کنترل پایداری (ESC)
2. سیستم کنترل کشش (TCS)
3. سیستم کمکی ترمز با نیرو هیدرولیکی (HBA)
4. سیستم کمکی حرکت در سربالایی (HAC)
5. سیستم پایش فشار باد تایر (TPMS)
6. سیستم نشانگز زمان تعویض دنده (GSI)

ناگفته نماند که دنا پلاس بورسی مدل 1403 یا همان کدکلاس 70324 همچنان «دو ایربگ» بوده و «سانروف» نیز ندارد و همانند مدل‌های 1401 و 1402 خود، با «رینگ فولادی» به همراه «ترمز عقب کاسه‌ای» تحویل خریداران شده است.

آپشن جدید دنا پلاس بورسی در سال 1402
شهریور 1402: شرکت ایران خودرو در راستای استانداردسازی محصولاتش، تیپ جدیدی از دنا پلاس بورسی را عرضه کرده که با کدکلاس 70323 شناخته می‌شود و تنها تفاوتش با کدکلاس 70322 در تغییر چراغ‌های عقب است. به این معنی که دناپلاس بورسی با کدکلاس 70323 به پوزیشن لایت مجهز شده و همزمان با روشن شدن چراغ‌های روز، چراغ‌های عقبی خودرو نیز روشن می‌شوند.

تفاوت دنا پلاس بورسی با دنا پلاس معمولی
بهمن 1401: همزمان با شروع دومین ماه از فصل زمستان، شرکت ایران خودرو نیز تحویل دناپلاس‌های جدید (که چندی پیش، از طریق بورس کالا آنها را فروخته بود) را آغاز کرده است. 

همانطور که می‌دانید، در فاصله سال‌های 1397 تا 1399، تیپ‌های مختلفی از دنا پلاس معمولی، تحویل مشتریان شده بود که اکثر آنها، فاقد «کروز کنترل» و «ایربگ» و «سانروف» هستند. اما از سال 1400 تا به امروز، دنا پلاس معمولی، فقط با کد کلاس 70317 فروخته می‌شد و هیچگونه تغییر آپشنی در لیست تجهیزات آن رخ نداده بود.

ولی با شروع پاییز 1401، شرکت ایران خودرو، فروش تیپ جدیدی از این خودرو را آغاز کرد که با کد کلاس 70322 شناخته می‌شود. البته این حرکت ایران خودرو، زیرکانه بود! چراکه فروش این تیپ به اصطلاح «لوآپشن» فقط از طریق بورس کالا صورت گرفته است و با این ترفند ساده، ایران خودرو توانست در سکوت خبری، هم این نسخه جدید را وارد بازار کند و هم تحویل خودروها را زودتر از موعد مقررشان، انجام دهد.  تیپ لوآپشن دناپلاس معمولی، که تحویل آن به مشتریان از بهمن‌ماه 1401 آغاز شده، دو ویژگی مهم را ندارد که در جدول زیر، آنها را مشاهده می‌کنید:

تفاوت تیپ های جدید دنا پلاس دستی
کد کلاس	70317	70322
نوع رینگ	آلومینیومی	فولادی  
نوع ترمز عقب	دیسکی	کاسه‌ای  "||5 دنده در مقابل دناپلاس MT6 که 6 دنده می باشد.
ایران‌خودرو|دنا پلاس MT6 (رینگ فولادی)- دنا پلاس MT6|"مشخصات فنی
محور محرک
دیفرانسیل جلو
گیربکس
5 دنده دستی
پیشرانه
4 سیلندر EF7
حجم موتور
1.7 لیتر
عملکرد فنی
قدرت
113 اسب‌بخار
گشتاور
155 نیوتن‌متر
شتاب
12 ثانیه
سرعت
190 کیلومتر برساعت
مصرف ترکیبی
7.9 لیتر در صد کیلومتر
ابعاد و اندازه ها
نوع بدنه
سدان جمع و جور
نوع شاسی
یکپارچه
نسل (کد اتاق)
اول
طول
4559 میلی‌متر
عرض
1720 میلی‌متر
ارتفاع
1460 میلی‌متر
فاصله محوری
2671 میلی‌متر
وزن
1258 کیلوگرم
حجم باک
60 لیتر
چرخ جلو
195/60R15
چرخ عقب
195/60R15
سایر ویژگی‌ها
رینگ آلومینیومی"|"امکاناتی بیشتر از دنا
اقتصادی‌تر از پیشرانه‌های XUM و XU7
اضافه شدن فرمان برقی (توربو اتومات)
بهبود گیربکس در مدل توربو 6 دنده
اضافه‌شدن سنسور نور و باران (از بهار 1402)
عرضه نسخه ارتقایافته (از پاییز 1402)"|"عایق‌بندی کابین
کاهش فضای سر نسبت به دنا (در ردیف جلو)
کشش پلاس ساده در سربالایی (نسبت به EF7 معمولی)
سفارشی شدن ایربگ جانبی و سانروف (از اواسط 97)
نرم بودن فرمان برقی در سرعت‌ بالا
موقعیت نامناسب دکمه‌های تنظیم برقی صندلی
عدم امکان تنظیم برقی صندلی در زمان خاموش بودن خودرو"
ایران‌خودرو|دنا پلاس MT6 (رینگ فولادی)- دنا پلاس MT6|"آبان 1402: موتور جدید EF7P بزودی و در دو نسخه تنفس طبیعی و توربوشارژ، در اختیار خانواده دنا پلاس قرار می‌گیرد. با آمدن این موتورهای جدید، تولید دناپلاس معمولی با موتور EF7 و همچنین تولید دناپلاس توربو با موتور EF7TC نیز بتدریج متوقف می‌شود. بنابراین می‌توان چنین گفت که دناپلاس توربو EF7 هم‌اکنون آخرین ماه‌های عمرش را سپری می‌کند!

اما تا قبل از توقف کامل خط تولید دنا پلاس توربو با موتور EF7، شرکت ایران خودرو، برای رعایت استانداردهای جدید، مجبور شده تا نسخه جدیدی از این محصول را به تولید برساند؛ نسخه‌ای که با نام دنا پلاس توربو ارتقا یافته شناخته می‌شود.

حتما به یاد دارید که ایران خودرو در بهار 1402، خانواده دنا پلاس توربو (مدل‌های دستی و اتومات) را به سنسورهای «نور و باران» مجهز کرد و به این ترتیب، کلاس جدیدی را با کد 70410 ساخت. اما در پاییز 1402 شاهد معرفی کد کلاس 70411 هستیم که چندین تفاوت بسیار مهم را نسبت به 70410 دارد که در جدول زیر، آنها را مشاهده می‌کنید:تفاوت سری قدیم و جدید دنا پلاس توربو دستی
کد کلاس	              70410	            70411
فرمان برقی	دارد	دارد
چهار ایربگ	دارد	دارد
سنسور نور	دارد	دارد
سنسور باران	دارد	دارد
سنسور باد تایر (TPMS)	ندارد	دارد
کنترل پایداری (ESC)	ندارد	دارد
کنترل کشش (TCS)	ندارد	دارد
کمکی در سربالایی (HSA)	ندارد	دارد
ترمز با نیروی کمکی (HBA)	ندارد	دارد
نشانگر تعویض دنده (GSI)	ندارد	دارد
استاندارد ایمنی عابر پیاده	ندارد	دارد"||
ایران‌خودرو|دنا پلاس توربو اتوماتیک|"دنا پلاس توربو اتومات
نوع موتور	EF7-TC
حجم موتور	1645 سی سی
جعبه دنده	6 سرعته اتومات 2 حالته
قدرت	150 اسب بخار
گشتاور	215 نیوتن متر
شتاب	9.5 ثانیه
سرعت	205 کیلومتر برساعت
استاندارد	یورو4 قابل ارتقا به یورو5
مصرف ترکیبی	8.1 لیتر    ابعاد و ظرفیت ‌ها
طول	۴۵۵۹ میلیمتر
عرض	۱۷۲۰ میلیمتر
ارتفاع	۱۴۶۰ میلیمتر
فاصله محورها	۲۶۷۱ میلیمتر
وزن خالص	۱۳۷۹ کیلوگرم
تعداد سرنشین	۵ نفر
ظرفیت صندوق عقب	۵۰۰ لیتر
حجم مخزن سوخت	۶۰ لیتر
قطر رینگ	۱۶ اینچ"|"از زمانی که استانداردهای ۸۵گانه در خودروهای ایرانی به صورت اجباری به اجرا درآمد، اکثر محصولات در حال تولید به تجهیزاتی همچون سامانه کنترل پایداری، سنسور فشار باد تایرها، نمایشگر وضعیت دنده، سنسور نور و باران و… مجهز شدند که دنا پلاس توربو آپشنال نیز در همین دسته قرار می‌گیرد. مزایای دنا پلاس توربو اتومات آپشنال
+شتاب نسبتا مهیج

+طراحی ظاهری اسپرت و جوان‌پسند

+صندوق عقب بزرگ

+امکانات نسبتا متنوع‌تر از برخی رقبای هم‌رده

+کیفیت سواری تقریبا لذت‌بخش"|"ـ سطح کیفی نه‌چندان بالای متریال کابین

ـ کیفیت مونتاژ نه‌چندان دلچسب اتاق

ـ فضای نسبتا تنگ کابین در ردیف جلو و عقب در قیاس با بعضی خودروهای هم‌کلاس

ـ استهلاک بالای موتور توربوشارژ

ـ کیفیت متوسط جعبه‌دنده چینی و هزینه‌های بالای تعمیرات

ـ نبود امکانات راداری هوشمند نظیر هشدار نقطه کور، هشدار خستگی راننده و…"
ایران‌خودرو|پژو 207 موتور TU3|"مدل	207 موتور TU3	206 تیپ 2
نوع موتور	TU3
حجم موتور	1.4 لیتر
حداکثر قدرت	75 اسب بخار
حداکثر گشتاور	118 نیوتن متر
گیربکس	5 دنده دستی
شتاب	11.6 ثانیه	14.1 ثانیه
سرعت	190 کیلومتربرساعت	170 کیلومتربرساعت
مصرف شهری	9.9 لیتر	8.9 لیتر
مصرف جاده‌ای	5.6 لیتر	5.0 لیتر
مصرف ترکیبی	6.3 لیتر	6.4 لیتر
وزن خالص	1059 کیلوگرم	1025 کیلوگرم
تهویه اتومات	دارد	x
دی لایت	دارد	x
اینه برقی	دارد	x
ایزوفیکس	دارد	x
سنسور عقب	دارد	سفارشی
دوربین عقب	دارد	x
مالتی مدیا	دارد	x
کروز کنترل	دارد	x پژو ۲۰۷ که از اواخر دهه ۸۰ روی خط تولید ایران خودرو قرار دارد، در دومین دهه حضور خود در ایران، با مدل‌های مختلفی از سقف فلزی و پانوراما تا گیربکس دستی و جعبه دنده اتومات و… به مشتریان داخلی عرضه می‌شود. جدیدترین مدل این هاچبک در سال ۱۴۰۲ با پیشرانه TU3 به بازار رسید. پژو ۲۰۷ TU3 که به پژو ۲۰۷ تیپ ۳ هم معروف است، قدرت کمتر و همین‌طور آپشن‌های پایین‌تری از مدل‌های قبلی دارد و از این نظر شبیه پژو ۲۰۶ تیپ ۳ پانوراما است. در اصل پژو ۲۰۷ TU3، همان ۲۰۶ تیپ ۳ است که لباس جدیدتر بر تن کرده و ارزان‌ترین مدل ۲۰۷ به حساب می‌آید."|تفاوت‌های قابل توجهی بین دو کد کلاس 26902 (معمولی) و 26903 (ارتقاء یافته) پژو 207 مجهز به موتور TU3 وجود دارد. مدل ارتقاء یافته (کد کلاس 26903) به مجموعه‌ای از سیستم‌های ایمنی و کمکی رانندگی مجهز شده است که در مدل معمولی (کد کلاس 26902) وجود ندارند. این سیستم‌ها شامل کنترل پایداری (ESC)، کنترل کشش (TCS)، ترمز با کمکی هیدرولیک (HBA)، کمکی حرکت در سربالایی (HSA)، سنسور فشار باد تایر (TPMS) و نشانگر تعویض دنده (GSI) می‌شوند. اضافه شدن این ویژگی‌ها به مدل 26903، ایمنی و تجربه رانندگی را به طور محسوسی بهبود می‌بخشد و آن را به گزینه‌ای کامل‌تر تبدیل می‌کند.|"– پیشرانه ضعیف و قدیمی

– فضای محدود ردیف عقب

– کیفیت پایین قطعات کابین

– خشکی سیستم تعلیق

– پایداری ضعیف"
ایران‌خودرو|پژو 207 دنده‌ای هیدرولیک|"هرچند از اواخر سال 94، ایران خودرو ثبت‌نام 207 جدید را آغاز کرد اما اولین سری آن در مدل 95 بدست مشتریانش رسید. 207 نیوفیس به لحاظ ظاهری تنها در فرم چراغ‌ها (اضافه‌شدن دی‌لایت) و طراحی مجدد آینه‌های جانبی‌اش (اضافه‌شدن راهنمای LED) با سری اول 207 متفاوت است. درون کابین نیز یک مانیتور لمسی (با دوربین و نویگیشن) به بالای کنسول اضافه شده، سیستم صوتی تغییر کرده و به هندزفری مجهز شده، فرمان دارای دکمه‌های کنترلی است و اهرم تنظیم سیستم صوتی نیز در زیرفرمان دیده می‌شود. اما ایران خودرو از پاییز 97، «رینگ آلومینیومی» و «کروز کنترل» را از تجهیزات استاندارد 207 دنده‌ای و همچنین «رینگ آلومینیومی» را از تجهیزات استاندارد 207 اتومات حذف کرد. همچنین از ابتدای سال 99 نیز آپشن جدید «فرمان برقی» نیز برای خریداران پژو 207 هاچبک، قابل سفارش شد. ایران خودرو همچنین از نیمه دوم سال 99، پژو 207 هاچبک پانوراما را به بازار فرستاد؛ خودرویی که هم در نسخه دنده‌ای و هم در نسخه اتومات عرضه شده است. نکته جالب اینجاست که ایران خودرو در 207 هاچبک سقف پانوراما، «ترمز عقب دیسکی» را هم سفارشی کرده درحالیکه در 207 هاچبک سقف فلزی، ترمزهای جفت دیسکی بصورت استاندارد هستند. بنابراین برای خریداری 207 هاچبک پانوراما دنده‌ای، باید چک کنید و ببینید آیا چهار آپشن «فرمان برقی»، «رینگ آلومینیومی»، «کروزکنترل» و «ترمز عقب دیسکی» روی خودروی موردنظرتان نصب شده یا خیر. از اواخر بهار 1400 نیز ایران خودرو، سیستم مالتی‌مدیای 207 را به‌روزسانی کرد و قابلیت جدید MirroLink را برای اولین‌بار به آن افزود؛ قابلیتی که به شما این امکان را می‌دهد تا از اپلیکیشن‌های اندروید و iOS موبایل‌تان، در مالتی‌مدیا 207 نیز استفاده کنید. به دلیل اضافه‌شدن «میرور لینک»، دو ویژگی قدیمی یعنی دی‌وی‌دی پلیر و نویگیشن آفلاین نیز از مالتی‌مدیای جدید 207 حذف شده است. ایران خودرو در بهار 1401 عرضه پژو 207 ام سی را شروع کرد که بدلیل داشتن سقف قرمز، به 207 دو رنگ نیز معروف شد. با اینکه 207MC به رینگ مشکی و تریم قرمز (هم در نمای بیرونی و هم در نمای داخلی خودرو) مزین شده اما مهم‌ترین تفاوتش با سایر اعضای خانواده 207 در داشتن موتور TU5P به همراه گیربگس جدید 6AT است. بنابراین نسبت به مابقی 207ها، هم خروجی بهتری در قدرت و گشتاور داشته و هم مصرف سوخت پایین‌تری را به ارمغان آورده است. پژو 207MC آپشن‌هایی مانند ترمز دیسکی عقب، فرمان برقی، کروز کنترل و رینگ آلومینیومی را بصورت استاندارد دارد. ایران خودرو از نیمه دوم سال 1401، تولید پژو 207 اتوماتیک (هم با سقف فلزی و هم با سقف شیشه‌ای) را نیز آغاز نمود که موتور TU5P و گیربکس جدید AT6 دارد. شرکت ایران خودرو در نیمه اول 1402 تلاش کرد تا جای خالی پژو 206 را در خانواده 207 پر کند. به همین دلیل نیز دو تیپ جدید برای پژو 207 را به بازار فرستاد. تیپ اول، اصطلاحا TU3 نام دارد چراکه موتور 1360 سی‌سی 8 سوپاپ تی.یو.سه روی آن گذاشته بودند. پژو 207 تیپ TU3 در واقع همان پژو 206 تیپ 3 بود ولی با بدنه 207 عرضه می‌شد! این یعنی فرمان هیدرولیک، ترمز عقب کاسه‌ای، رینگ 14 اینچ فولادی و شیشه بالابر برقی جلو و عقب دارد. البته برخلاف 206 تیپ 3، ایران خودرو روی 207 تیپ TU3، کروز کنترل را بصورت استاندارد نصب کرده است. دومین تیپی که در سال 1402 براساس 206 اما برای خانواده 207 عرضه گردید، اصطلاحا با نام تیپ 5 معرفی شد. این محصول نیز در واقع همان 207 بود که داشبورد 206 را روی آن گذاشته بودند. البته ایران خودرو، اکثر آپشن‌های خوب پژو 207 را از روی 207 تیپ 5 حذف کرده است: فرمان برقی، رینگ آلومینیومی، ترمز دیسکی عقب، سنسور عقب، مالتی مدیا و کروزکنترل از جمله آپشن‌هایی هستند که روی 207 تیپ 5 وجود ندارد. برای رعایت استانداردهای اجباری ایمنی، شرکت ایران خودرو از نیمه دوم سال 1402 تولید نسخه‌های ارتقایافته را آغاز کرد. پژو 207 ارتقایافته به سیستم کنترل پایداری (ESC) و کنترل کشش (TCS) مجهز شده، سنسور فشار باد تایر (TPMS) داشته و نشانگر تعویض دنده (GSI) را هم دارد. مشخصات فنی
محور محرک
دیفرانسیل جلو
گیربکس
5 دنده دستی
پیشرانه
4 سیلندر TU5
حجم موتور
1.6 لیتر
عملکرد فنی
قدرت
105 اسب‌بخار
گشتاور
142 نیوتن‌متر
شتاب
11.6 ثانیه
سرعت
190 کیلومتر برساعت
مصرف ترکیبی
6.6 لیتر در صد کیلومتر
ابعاد و اندازه ها
نوع بدنه
هاچ‌ بک جمع و جور
نوع شاسی
یکپارچه
نسل (کد اتاق)
نسل اول - فیس لیفت دوم 206
طول
3900 میلی‌متر
عرض
1680 میلی‌متر
ارتفاع
1468 میلی‌متر
فاصله محوری
2443 میلی‌متر
وزن
1087 کیلوگرم
حجم باک
50 لیتر
چرخ جلو
185/65R14
چرخ عقب
185/65R14
سایر ویژگی‌ها
(رینگ آلومینیومی: سفارشی)"|"مصرف سوخت در مدل دستی
بهبود کیفیت ساخت نسبت به 206
بهبود امکانات نسبت به 207 سری اول
عملکرد جعبه‌دنده دستی نسبت به تیپ 5
بهبود موتور و گیربکس در نسخه TU5P
عرضه نسخه ارتقایافته از نیمه دوم 1402"|"پایداری در پیچ‌های تند
کیفیت غربیلک فرمان
کیفیت قطعات داشبورد
خشکی سیستم تعلیق
محدودیت فضای پا و سر در ردیف دوم
عملکرد گیربکس اتومات (مشابه 206 تیپ 6)
ضعف در سیستم خنک‌کاری گیربکس AL4
عملکرد سیستم کروزکنترل {گزارش کاربران}
ایرادات فنی در سیستم مالتی مدیا {گزارش کاربران}"
ایران‌خودرو|پژو 207 دنده‌ای پانوراما |مانند پژو 207 دنده‌ای هیدرولیک فقط سقف شیشه ای دارد.|مانند پژو 207 دنده‌ای هیدرولیک فقط سقف شیشه ای دارد.|مانند پژو 207 دنده‌ای هیدرولیک فقط سقف شیشه ای دارد.
ایران‌خودرو|پژو 207 اتوماتیک|مانند پژو 207 دنده‌ای هیدرولیک فقط سقف شیشه ای دارد.|مانند پژو 207 دنده‌ای هیدرولیک فقط سقف شیشه ای دارد.|مانند پژو 207 دنده‌ای هیدرولیک فقط سقف شیشه ای دارد.
